m1,m2,m3,m4,m5,m6,m7
57.5494,25.424,32.1254,13.9795,2.43297,-10.9734,13.6895
36.741,15.8181,20.9229,9.38004,1.93322,-7.44613,9.19419
33.0611,14.1381,18.923,8.51154,1.77141,-6.72326,8.34588
30.1751,12.8771,17.2981,7.7863,1.631,-6.10174,7.63835
28.712,12.2389,16.4731,7.39883,1.53399,-5.74852,7.26052
25.4555,10.7726,14.6829,6.61916,1.40359,-5.10415,6.49941
25.5874,10.7493,14.8382,6.67688,1.42492,-5.119,6.55837
32.6506,13.8803,18.7703,8.30661,1.64143,-6.36241,8.15298
34.1316,14.5862,19.5453,8.61718,1.62193,-6.55812,8.45659
32.6729,13.8629,18.81,8.33338,1.70219,-6.30651,8.18662
32.5656,13.6593,18.9064,8.42219,1.81324,-6.37873,8.27829
35.7247,14.9723,20.7524,9.22392,1.97288,-7.00672,9.06439
38.413,16.1397,22.2732,9.87574,2.08056,-7.51543,9.70248
40.0404,16.9231,23.1173,10.2208,2.10546,-7.77843,10.039
39.1688,16.6586,22.5102,9.94047,2.02907,-7.55113,9.76361
43.4899,18.6236,24.8663,10.9248,2.14573,-8.31485,10.7253
42.6713,18.2647,24.4066,10.7497,2.16198,-8.18913,10.5555
37.6253,15.8038,21.8215,9.76141,2.199,-7.46182,9.59567
41.1033,17.6618,23.4415,10.3635,2.15471,-8.005,10.173
48.468,21.1943,27.2737,11.9015,2.20721,-9.22629,11.6678
56.1365,24.6421,31.4944,13.666,2.41362,-10.6131,13.3912
66.538,29.2929,37.2451,16.086,2.72735,-12.5074,15.7569
76.5599,34.047,42.513,18.2286,2.8967,-14.1635,17.8485
82.0051,36.7445,45.2606,19.3264,2.95061,-15.0188,18.9186
90.4399,40.5877,49.8522,21.2351,3.12024,-16.5154,20.7817
88.8189,40.0291,48.7899,20.7682,2.98656,-16.1691,20.3214
89.8178,40.5326,49.2852,20.9868,2.98184,-16.3614,20.5327
90.2126,40.7537,49.4589,21.073,2.97129,-16.4461,20.6152
88.7465,40.2216,48.5248,20.6691,2.87494,-16.1357,20.2184
89.1203,40.3682,48.7521,20.7866,2.90263,-16.2377,20.3331
84.7101,38.7041,46.0061,19.5464,2.28529,-15.1285,19.1148
83.8929,38.3396,45.5532,19.3685,2.26409,-14.9941,18.9406
84.2803,38.5128,45.7674,19.3803,1.98297,-14.8809,18.9521
89.7211,41.0049,48.7161,20.6532,2.08581,-15.8336,20.1977
88.823,40.5266,48.2964,20.5135,2.09351,-15.7302,20.0615
87.9164,40.0285,47.8879,20.3828,2.11727,-15.6437,19.9337
88.9082,40.4252,48.483,20.6734,2.23154,-15.8985,20.2181
90.9731,41.348,49.6251,21.1364,2.19924,-16.2244,20.6707
91.3608,41.5626,49.7982,21.2019,2.19821,-16.2688,20.7349
89.7115,40.7593,48.9522,20.8786,2.2065,-16.0306,20.4192
84.7676,38.4002,46.3674,19.8536,2.18558,-15.2571,19.4182
75.087,33.7832,41.3038,17.8855,2.30373,-13.828,17.4978
73.8054,33.1205,40.6849,17.6079,2.52529,-13.6779,17.2308
78.2283,35.1119,43.1164,18.5916,2.52671,-14.4426,18.1887
76.5827,34.4921,42.0906,18.1415,2.41836,-14.1007,17.7463
69.9309,31.5399,38.3909,16.5922,2.26806,-12.9152,16.2315
76.4346,34.1388,42.2958,18.3089,2.88391,-14.3787,17.9165
76.4399,34.1341,42.3057,18.301,2.84788,-14.3661,17.9079
76.9111,34.3981,42.513,18.3607,2.81832,-14.4029,17.9654
82.0657,36.4773,45.5884,19.6921,3.03949,-15.4441,19.269
82.5376,36.5632,45.9744,19.8715,3.09027,-15.5799,19.4457
79.5996,35.2447,44.3549,19.177,2.99433,-15.0224,18.7674
71.6124,31.7735,39.8389,17.2456,2.71757,-13.4972,16.8789
67.6999,30.0311,37.6688,16.3391,2.61797,-12.7911,15.9932
64.5353,28.9219,35.6135,15.3846,2.02048,-11.8924,15.0526
61.2687,27.477,33.7917,14.6114,1.93921,-11.2876,14.2971
56.4741,25.514,30.9601,13.3238,1.47126,-10.1693,13.036
54.5067,24.5795,29.9272,12.9193,1.39124,-9.82941,12.6411
51.0494,22.9176,28.1318,12.1958,1.37344,-9.26251,11.9359
47.3472,21.1288,26.2184,11.4372,1.36089,-8.68403,11.1957
46.9228,20.8513,26.0714,11.4057,1.4501,-8.67365,11.1668
53.2631,23.6507,29.6124,12.8596,1.50189,-9.74189,12.5885
53.2008,23.6787,29.5222,12.7937,1.48238,-9.6719,12.5249
51.5078,22.9008,28.6071,12.4009,1.46623,-9.35489,12.1424
49.5169,21.8362,27.6807,12.0554,1.50655,-9.083,11.8072
45.9752,19.9265,26.0488,11.517,1.76724,-8.73411,11.2876
51.0892,22.319,28.7702,12.6112,1.93955,-9.65401,12.3546
58.5705,25.7974,32.7731,14.2289,2.04598,-10.9039,13.9336
60.0596,26.5447,33.5148,14.5135,2.06638,-11.1294,14.2111
66.256,29.3072,36.9488,15.9558,2.20045,-12.2411,15.6205
